PassengerId,Survived,Pclass,Embarked,Gender
756,1,Middle Class,Southampton,Male
757,0,Lower Class,Southampton,Male
758,0,Middle Class,Southampton,Male
759,0,Lower Class,Southampton,Male
760,1,Upper Class,Southampton,Female
761,0,Lower Class,Southampton,Male
762,0,Lower Class,Southampton,Male
763,1,Lower Class,Cherbourg,Male
764,1,Upper Class,Southampton,Female
765,0,Lower Class,Southampton,Male
766,1,Upper Class,Southampton,Female
767,0,Upper Class,Cherbourg,Male
768,0,Lower Class,Queenstown,Female
769,0,Lower Class,Queenstown,Male
770,0,Lower Class,Southampton,Male
771,0,Lower Class,Southampton,Male
772,0,Lower Class,Southampton,Male
773,0,Middle Class,Southampton,Female
774,0,Lower Class,Cherbourg,Male
775,1,Middle Class,Southampton,Female
776,0,Lower Class,Southampton,Male
777,0,Lower Class,Queenstown,Male
778,1,Lower Class,Southampton,Female
779,0,Lower Class,Queenstown,Male
780,1,Upper Class,Southampton,Female
781,1,Lower Class,Cherbourg,Female
782,1,Upper Class,Southampton,Female
783,0,Upper Class,Southampton,Male
784,0,Lower Class,Southampton,Male
785,0,Lower Class,Southampton,Male
786,0,Lower Class,Southampton,Male
787,1,Lower Class,Southampton,Female
788,0,Lower Class,Queenstown,Male
789,1,Lower Class,Southampton,Male
790,0,Upper Class,Cherbourg,Male
791,0,Lower Class,Queenstown,Male
792,0,Middle Class,Southampton,Male
793,0,Lower Class,Southampton,Female
794,0,Upper Class,Cherbourg,Male
795,0,Lower Class,Southampton,Male
796,0,Middle Class,Southampton,Male
797,1,Upper Class,Southampton,Female
798,1,Lower Class,Southampton,Female
799,0,Lower Class,Cherbourg,Male
800,0,Lower Class,Southampton,Female
801,0,Middle Class,Southampton,Male
802,1,Middle Class,Southampton,Female
803,1,Upper Class,Southampton,Male
804,1,Lower Class,Cherbourg,Male
805,1,Lower Class,Southampton,Male
806,0,Lower Class,Southampton,Male
807,0,Upper Class,Southampton,Male
808,0,Lower Class,Southampton,Female
809,0,Middle Class,Southampton,Male
810,1,Upper Class,Southampton,Female
811,0,Lower Class,Southampton,Male
812,0,Lower Class,Southampton,Male
813,0,Middle Class,Southampton,Male
814,0,Lower Class,Southampton,Female
815,0,Lower Class,Southampton,Male
816,0,Upper Class,Southampton,Male
817,0,Lower Class,Southampton,Female
818,0,Middle Class,Cherbourg,Male
819,0,Lower Class,Southampton,Male
820,0,Lower Class,Southampton,Male
821,1,Upper Class,Southampton,Female
822,1,Lower Class,Southampton,Male
823,0,Upper Class,Southampton,Male
824,1,Lower Class,Southampton,Female
825,0,Lower Class,Southampton,Male
826,0,Lower Class,Queenstown,Male
827,0,Lower Class,Southampton,Male
828,1,Middle Class,Cherbourg,Male
829,1,Lower Class,Queenstown,Male
830,1,Upper Class,,Female
831,1,Lower Class,Cherbourg,Female
832,1,Middle Class,Southampton,Male
833,0,Lower Class,Cherbourg,Male
834,0,Lower Class,Southampton,Male
835,0,Lower Class,Southampton,Male
836,1,Upper Class,Cherbourg,Female
837,0,Lower Class,Southampton,Male
838,0,Lower Class,Southampton,Male
839,1,Lower Class,Southampton,Male
840,1,Upper Class,Cherbourg,Male
841,0,Lower Class,Southampton,Male
842,0,Middle Class,Southampton,Male
843,1,Upper Class,Cherbourg,Female
844,0,Lower Class,Cherbourg,Male
845,0,Lower Class,Southampton,Male
846,0,Lower Class,Southampton,Male
847,0,Lower Class,Southampton,Male
848,0,Lower Class,Cherbourg,Male
849,0,Middle Class,Southampton,Male
850,1,Upper Class,Cherbourg,Female
851,0,Lower Class,Southampton,Male
852,0,Lower Class,Southampton,Male
853,0,Lower Class,Cherbourg,Female
854,1,Upper Class,Southampton,Female
855,0,Middle Class,Southampton,Female
856,1,Lower Class,Southampton,Female
857,1,Upper Class,Southampton,Female
858,1,Upper Class,Southampton,Male
859,1,Lower Class,Cherbourg,Female
860,0,Lower Class,Cherbourg,Male
861,0,Lower Class,Southampton,Male
862,0,Middle Class,Southampton,Male
863,1,Upper Class,Southampton,Female
864,0,Lower Class,Southampton,Female
865,0,Middle Class,Southampton,Male
866,1,Middle Class,Southampton,Female
867,1,Middle Class,Cherbourg,Female
868,0,Upper Class,Southampton,Male
869,0,Lower Class,Southampton,Male
870,1,Lower Class,Southampton,Male
871,0,Lower Class,Southampton,Male
872,1,Upper Class,Southampton,Female
873,0,Upper Class,Southampton,Male
874,0,Lower Class,Southampton,Male
875,1,Middle Class,Cherbourg,Female
876,1,Lower Class,Cherbourg,Female
877,0,Lower Class,Southampton,Male
878,0,Lower Class,Southampton,Male
879,0,Lower Class,Southampton,Male
880,1,Upper Class,Cherbourg,Female
881,1,Middle Class,Southampton,Female
882,0,Lower Class,Southampton,Male
883,0,Lower Class,Southampton,Female
884,0,Middle Class,Southampton,Male
885,0,Lower Class,Southampton,Male
886,0,Lower Class,Queenstown,Female
887,0,Middle Class,Southampton,Male
888,1,Upper Class,Southampton,Female
889,0,Lower Class,Southampton,Female
890,1,Upper Class,Cherbourg,Male
891,0,Lower Class,Queenstown,Male
